Loss,Selection,Fold,SP F1,cTP F1,luTP F1,mTP F1,noTP F1,Weighted Precision,Weighted Recall,Weighted F1,Weighted AUC
supcon,maxsep,test_0,0.9480401093892434,0.45255474452554745,0.8181818181818182,0.4723032069970846,0.9735255570117954,0.9303826047007575,0.9589251439539347,0.9396005891297745,0.9646088236787594
supcon,pvalue,validation_0,0.9553072625698324,0.6041666666666666,0.7,0.5384615384615384,0.9576861274772362,0.9470151012608659,0.926679462571977,0.9341909357763966,0.9433254637652263
supcon,pvalue,test_1,0.9522918615528531,0.5233644859813085,0.5714285714285714,0.5741324921135647,0.9592002161577952,0.9520084883398614,0.924347158218126,0.9338097091092967,0.9501491394687991
supcon,pvalue,validation_1,0.9508506616257089,0.5161290322580646,0.5333333333333333,0.618421052631579,0.9700374531835206,0.9564394433686976,0.9362519201228878,0.9429248790247758,0.957036979075945
supcon,pvalue,test_2,0.9379699248120301,0.5370370370370371,0.7142857142857143,0.5608856088560886,0.9687750200160129,0.9484472159295771,0.9315910837817064,0.9379033012893946,0.950418291753757
supcon,pvalue,validation_2,0.9452181987000929,0.46511627906976744,0.7142857142857143,0.6141732283464567,0.9695202756427247,0.9460356629411126,0.9381245196003074,0.9407656211024001,0.9474014900362712
supcon,pvalue,test_3,0.9443938012762079,0.5161290322580646,0.5714285714285714,0.633587786259542,0.9662740899357602,0.9477513890783856,0.9357939254133025,0.9397865376459329,0.9525660877832767
supcon,pvalue,validation_3,0.9418282548476455,0.5777777777777777,0.6666666666666667,0.6466165413533834,0.9658484525080042,0.9486267577208192,0.9369473279507882,0.940838873773868,0.949756634928098
supcon,pvalue,test_4,0.9600742804085423,0.6341463414634145,0.7368421052631579,0.6104417670682731,0.9699388135142325,0.9542337887529555,0.9444658696490551,0.9478934483937078,0.953509353316067
supcon,pvalue,validation_4,0.9618604651162791,0.6021505376344085,0.631578947368421,0.5745454545454546,0.9629430719656283,0.9522991519597584,0.9344388738912457,0.9409050191221118,0.9510577688136191
supcon,pvalue,test_0,0.9419354838709677,0.5494505494505495,0.8571428571428572,0.6037735849056604,0.964247598719317,0.9469987576739636,0.9335892514395393,0.9383342033492108,0.9489614557649079
